title,category,description
Morning Meditation,Mindfulness,10 minutes of meditation each morning
Drink Water,Health,Drink 8 glasses of water daily
Exercise,Fitness,30 minutes of physical activity
Read Books,Learning,Read for 20 minutes before bed
Journal Writing,Mindfulness,Write in journal for 5 minutes
Evening Stretch,Fitness,10 minutes of stretching before bed
Healthy Breakfast,Health,Eat a nutritious breakfast every morning
No Phone Before Bed,Wellness,Avoid phone 1 hour before sleep
Daily Walk,Fitness,Take a 15-minute walk
Gratitude Practice,Mindfulness,Write down 3 things you're grateful for

